rank,video_id,title,view_count,duration,url
58,BDhR7rOX15c,"“She’s Lying, She’s Truthful Or Has A Disorder” Baby Reindeer Interview Verdict",3200000,2406,https://www.youtube.com/watch?v=BDhR7rOX15c
59,1AzKH1n2mkI,Piers Morgan DESTROYS The Woke Brigade For 22 Minutes,3200000,1320,https://www.youtube.com/watch?v=1AzKH1n2mkI
60,xDTrsysXWt8,"""I Don’t Need Your Pity!"" Rahma Zein vs Mosab Hassan Yousef",3100000,2362,https://www.youtube.com/watch?v=xDTrsysXWt8
61,DDbMY7oM18A,Woman DESTROYS Eco-Protesters After They Made Her Miss Mum's Funeral,3100000,1242,https://www.youtube.com/watch?v=DDbMY7oM18A
62,MeaHO6sF5BQ,"""Somebody Didn’t Want Me To Do This Interview"" Diddy BOMBSHELL Revelations | Big Homie CC",3000000,1555,https://www.youtube.com/watch?v=MeaHO6sF5BQ
63,tlIg09t0Ui4,"Israel-Hamas War: ""I Refuse To Talk To Genocide Deniers!"" Piers Morgan Debates Palestine With Panel",3000000,884,https://www.youtube.com/watch?v=tlIg09t0Ui4
64,KEUElq-T5TI,Piers Morgan vs Pro-Palestinian Rapper Lowkey On Israel-Hamas War | The Full Interview,3000000,883,https://www.youtube.com/watch?v=KEUElq-T5TI
65,XoulC-h4yB4,"""Where's My STRAIGHT Flag?!"" Piers Morgan Debates Pride Flags With James Barr",3000000,339,https://www.youtube.com/watch?v=XoulC-h4yB4
66,eYwu14Qrimw,"Jordan Peterson: ""Meghan Markle GRATES On Me!""",3000000,1348,https://www.youtube.com/watch?v=eYwu14Qrimw
67,TlAbPkMlNOU,“NOT A Lone Gunman” Trump Declassifies JFK Files - Was It a Mob Job? With Michael Franzese,2900000,1833,https://www.youtube.com/watch?v=TlAbPkMlNOU
68,KICYv4O03CA,“BRAZEN Antisemite!” Piers Morgan CALLS OUT Dan Bilzerian,2900000,2020,https://www.youtube.com/watch?v=KICYv4O03CA
69,gt_CipOPPs0,"""INHUMAN!"" Piers Morgan vs Destiny On Trump Shooting",2900000,3239,https://www.youtube.com/watch?v=gt_CipOPPs0
70,8zevhRN5lHI,Matt Walsh The Creator Of 'What Is A Woman?' Documentary FULL Interview,2900000,498,https://www.youtube.com/watch?v=8zevhRN5lHI
71,MkEZXp0GJe8,“Dems Made A Deal With The DEVIL!” Ana Kasparian SLAMS Her Old Party Feat. Victor Davis Hanson,2800000,3464,https://www.youtube.com/watch?v=MkEZXp0GJe8
72,6U1bb4F9CSs,“She’s A Dangerous Stalker” Fiona Harvey’s Alleged First Victim Speaks To Piers Morgan,2800000,2290,https://www.youtube.com/watch?v=6U1bb4F9CSs
73,R06YFQU88lc,"""You Behave Like An Idiot!"" Piers Morgan SCOLDS Foul-Mouthed Eco-Protester",2800000,774,https://www.youtube.com/watch?v=R06YFQU88lc
74,PD9a8q-LW3w,What Is A Woman? EVERY Answer Piers Morgan Received On His Show,2800000,442,https://www.youtube.com/watch?v=PD9a8q-LW3w
75,5glgvwuDoZo,“THAT Is Racist!” Candace Owens Calls Out Democrat Hypocrisy,2700000,1808,https://www.youtube.com/watch?v=5glgvwuDoZo
76,quRdOfmIDg0,"""We ARE Going To Name Names!"" New Diddy Revelations Given To Piers Morgan",2700000,2912,https://www.youtube.com/watch?v=quRdOfmIDg0
77,IkG6WbNx91I,"“You're ALL Guilty!” Candace Owens x Cenk Uygur On Israel, Trump & More",2700000,4769,https://www.youtube.com/watch?v=IkG6WbNx91I
78,rmAd4ONfbgU,“Are You a CANNIBAL?” Armie Hammer Full Interview With Piers Morgan,2700000,4906,https://www.youtube.com/watch?v=rmAd4ONfbgU
79,kv8dmelNRk8,Piers Morgan vs Jordan Peterson on Israel-Hamas War And His 'Give 'Em Hell' Tweet,2700000,3406,https://www.youtube.com/watch?v=kv8dmelNRk8
80,n5zMQgy6FkQ,Piers Morgan vs Dillon Danis On Logan Paul Fight | The Full Interview,2700000,737,https://www.youtube.com/watch?v=n5zMQgy6FkQ
81,FzRaFeQFcdc,PART 2: The Cristiano Ronaldo Full Interview With Piers Morgan,2700000,2856,https://www.youtube.com/watch?v=FzRaFeQFcdc
82,n-ZiaE1saL0,"Kanye ""Ye"" West WALKS OUT During Interview With Piers Morgan",2700000,412,https://www.youtube.com/watch?v=n-ZiaE1saL0
83,Xj1ql9H1s6g,“I Will NOT STOP!” Candace Owens Meets Erika Kirk | Piers Morgan Interview,2600000,3774,https://www.youtube.com/watch?v=Xj1ql9H1s6g
84,9OGI8QvuIxg,“Half An Inch From CIVIL WAR” Patrick Bet-David x Kari Lake | Trump,2600000,2274,https://www.youtube.com/watch?v=9OGI8QvuIxg
85,9ttfvy3uv4w,"""You've Been Embarrassed!"" Piers Morgan SLAMS James Barr On Snow White's Woke Remake",2600000,865,https://www.youtube.com/watch?v=9ttfvy3uv4w
86,jor6jqaYQBs,"""It's Ludicrous!"" Piers Morgan Criticises 'Entitled' Plus Size Influencer",2600000,440,https://www.youtube.com/watch?v=jor6jqaYQBs
87,qBgfzygwaqE,“You Are a PARASITE!” Hamas Leader’s Son vs Cenk Uygur On Sinwar Death,2500000,2517,https://www.youtube.com/watch?v=qBgfzygwaqE
88,eHfVzzMArdg,“Iran WILL Punish Israel!” Israel Invades Lebanon After Nasrallah Killed,2500000,3118,https://www.youtube.com/watch?v=eHfVzzMArdg
89,djgdjer0jOw,"""I'm Not Antisemitic” Roger Waters vs Piers Morgan On Israel-Palestine & More",2500000,4236,https://www.youtube.com/watch?v=djgdjer0jOw
